Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,City,Category,Sub_Category,Product_Name,Quantity,Base_Price,Discount,Sales,Profit,Profit_Margin_Pct,Ship_Mode,Payment_Mode,Rating
ORD-20240191,2024-01-10,2024-01-13,CUST-1050,Arjun Gupta,Consumer,West,Phoenix,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,2,21,0.05,39.9,9.74,24.41,Standard Class,Debit Card,5
ORD-20240735,2024-01-10,2024-01-13,CUST-1118,Pooja Chopra,Consumer,East,Washington D.C.,Furniture,Desks,L-Shaped Corner Workstation,2,329,0.0,658.0,163.83,24.9,Second Class,Cash on Delivery,4
ORD-20241047,2024-01-10,2024-01-13,CUST-1221,Arjun Verma,Corporate,North,Detroit,Office Supplies,Stationery,Sharpie Highlighters Box,10,16,0.3,112.0,15.94,14.23,Standard Class,Credit Card,5
ORD-20240784,2024-01-10,2024-01-14,CUST-1203,Jessica Sharma,Consumer,Central,Columbus,Office Supplies,Binders & Organizers,Desktop Acrylic Organizer,4,34,0.0,136.0,53.9,39.63,Same Day,Credit Card,5
ORD-20240019,2024-01-11,2024-01-14,CUST-1049,James Gupta,Corporate,North,Chicago,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,2,21,0.05,39.9,10.82,27.12,Standard Class,UPI / Instant Transfer,5
ORD-20241161,2024-01-11,2024-01-14,CUST-1005,Rohan Taylor,Consumer,East,Pittsburgh,Technology,Smart Watches,Samsung Galaxy Watch 6,1,299,0.1,269.1,62.63,23.27,First Class,Credit Card,5
ORD-20241582,2024-01-12,2024-01-13,CUST-1055,Sarah Reddy,Corporate,West,Seattle,Furniture,Desks,L-Shaped Corner Workstation,1,329,0.05,312.55,71.37,22.83,Standard Class,Credit Card,5
ORD-20240716,2024-01-13,2024-01-15,CUST-1024,Priya Williams,Consumer,West,Denver,Office Supplies,Paper & Notebooks,Spiral Dot Grid Notebook Pack,4,19,0.2,60.8,16.48,27.11,Second Class,Credit Card,5
ORD-20241369,2024-01-14,2024-01-16,CUST-1097,Michael Sharma,Corporate,East,Pittsburgh,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,12,21,0.0,252.0,76.87,30.5,Same Day,Credit Card,5
ORD-20240544,2024-01-14,2024-01-19,CUST-1126,Sophia Sharma,Consumer,North,Detroit,Furniture,Chairs,Ergonomic Mesh Office Chair,1,249,0.05,236.55,35.78,15.13,Second Class,Credit Card,5
ORD-20241423,2024-01-17,2024-01-20,CUST-1194,Jessica Gupta,Corporate,West,Seattle,Furniture,Desks,Motorized Standing Desk 60x30,4,549,0.2,1756.8,-133.73,-7.61,First Class,Credit Card,4
ORD-20240097,2024-01-17,2024-01-20,CUST-1018,Michael Singh,Corporate,East,Washington D.C.,Office Supplies,Paper & Notebooks,Spiral Dot Grid Notebook Pack,3,19,0.0,57.0,19.43,34.09,Same Day,Credit Card,4
ORD-20240202,2024-01-17,2024-01-19,CUST-1220,Ananya Taylor,Home Office,South,Houston,Furniture,Chairs,Gaming Bucket Chair,1,199,0.1,179.1,35.07,19.58,Standard Class,UPI / Instant Transfer,4
ORD-20241175,2024-01-17,2024-01-20,CUST-1039,Ananya Jones,Corporate,East,Baltimore,Technology,Phones,OnePlus 12,1,649,0.25,486.75,11.42,2.35,Standard Class,Credit Card,5
ORD-20240020,2024-01-18,2024-01-19,CUST-1057,Emily Patel,Consumer,West,San Francisco,Furniture,Storage,Modular Wooden Bookshelf,2,189,0.0,378.0,45.59,12.06,Standard Class,Credit Card,5
ORD-20241142,2024-01-18,2024-01-21,CUST-1044,Michael Williams,Home Office,East,Baltimore,Technology,Laptops,MacBook Air M2,2,1199,0.0,2398.0,838.07,34.95,First Class,Credit Card,5
ORD-20240162,2024-01-18,2024-01-21,CUST-1071,Daniel Deshmukh,Corporate,Central,St. Louis,Technology,Smart Watches,Apple Watch Series 9,1,399,0.0,399.0,128.16,32.12,Second Class,Credit Card,5
ORD-20240635,2024-01-20,2024-01-22,CUST-1053,Alex Brown,Home Office,South,Austin,Furniture,Chairs,Steelcase Series 1 Task Chair,1,499,0.0,499.0,72.28,14.48,First Class,Credit Card,5
ORD-20241579,2024-01-20,2024-01-23,CUST-1110,Emily Brown,Consumer,Central,Kansas City,Technology,Smart Watches,Garmin Venu 3,1,449,0.0,449.0,104.73,23.33,First Class,Net Banking,3
ORD-20241667,2024-01-20,2024-01-22,CUST-1170,Sophia Iyer,Corporate,West,Phoenix,Furniture,Lighting,Architect LED Desk Lamp,8,79,0.1,568.8,24.34,4.28,First Class,Credit Card,5
ORD-20240963,2024-01-21,2024-01-22,CUST-1213,Rahul Williams,Corporate,Central,Nashville,Technology,Phones,OnePlus 12,7,649,0.15,3861.55,618.88,16.03,First Class,Credit Card,4
ORD-20240365,2024-01-21,2024-01-24,CUST-1090,Jessica Chopra,Consumer,Central,Indianapolis,Office Supplies,Stationery,Pilot G2 Gel Pens Bulk Pack,1,22,0.1,19.8,5.56,28.08,Standard Class,UPI / Instant Transfer,4
ORD-20241254,2024-01-21,2024-01-24,CUST-1186,Arjun Deshmukh,Corporate,West,Denver,Technology,Smart Watches,Samsung Galaxy Watch 6,1,299,0.2,239.2,33.2,13.88,Standard Class,UPI / Instant Transfer,5
ORD-20241685,2024-01-22,2024-01-25,CUST-1075,Vikram Johnson,Corporate,South,Dallas,Technology,Smart Watches,Apple Watch Series 9,1,399,0.15,339.15,44.42,13.1,First Class,Debit Card,4
ORD-20240593,2024-01-22,2024-01-26,CUST-1042,Michael Verma,Consumer,West,Denver,Furniture,Desks,Motorized Standing Desk 60x30,1,549,0.15,466.65,9.63,2.06,Second Class,Credit Card,3
ORD-20241300,2024-01-22,2024-01-23,CUST-1239,Vikram Chopra,Corporate,East,Washington D.C.,Office Supplies,Binders & Organizers,Cable Management Tray Kit,1,25,0.05,23.75,6.35,26.74,Standard Class,UPI / Instant Transfer,5
ORD-20241615,2024-01-23,2024-01-26,CUST-1233,Michael Anderson,Corporate,North,Minneapolis,Furniture,Storage,Steel Storage Credenza,1,279,0.15,237.15,11.92,5.03,Standard Class,UPI / Instant Transfer,5
ORD-20240782,2024-01-23,2024-01-25,CUST-1071,Daniel Deshmukh,Corporate,South,Miami,Technology,Phones,Samsung Galaxy S24,3,849,0.1,2292.3,304.27,13.27,Second Class,Credit Card,2
ORD-20241652,2024-01-24,2024-01-27,CUST-1091,Sophia Chopra,Consumer,East,Washington D.C.,Furniture,Desks,Motorized Standing Desk 60x30,2,549,0.0,1098.0,275.56,25.1,Standard Class,UPI / Instant Transfer,5
ORD-20240119,2024-01-24,2024-01-25,CUST-1101,Rohan Verma,Consumer,Central,Columbus,Technology,Laptops,Lenovo ThinkPad X1,1,1299,0.0,1299.0,338.22,26.04,First Class,Credit Card,4
ORD-20240477,2024-01-25,2024-01-28,CUST-1015,Ananya Brown,Consumer,Central,Indianapolis,Office Supplies,Paper & Notebooks,Spiral Dot Grid Notebook Pack,5,19,0.0,95.0,31.26,32.91,Standard Class,Credit Card,5
ORD-20241625,2024-01-26,2024-01-30,CUST-1124,James Wilson,Consumer,South,Dallas,Technology,Accessories,Logitech MX Master 3S Mouse,1,99,0.1,89.1,10.71,12.02,First Class,Credit Card,5
ORD-20240603,2024-01-28,2024-01-30,CUST-1167,Rohan Reddy,Consumer,South,Dallas,Furniture,Desks,Motorized Standing Desk 60x30,1,549,0.05,521.55,90.41,17.33,Standard Class,Credit Card,5
ORD-20241626,2024-01-28,2024-01-31,CUST-1059,Vikram Deshmukh,Consumer,Central,Kansas City,Technology,Smart Watches,Garmin Venu 3,3,449,0.1,1212.3,236.86,19.54,Second Class,Credit Card,5
ORD-20240841,2024-01-29,2024-02-01,CUST-1140,Neha Smith,Home Office,North,Minneapolis,Furniture,Chairs,Executive Leather Recliner,8,399,0.1,2872.8,191.63,6.67,Standard Class,UPI / Instant Transfer,5
ORD-20240946,2024-01-29,2024-02-01,CUST-1011,Rahul Wilson,Consumer,Central,Nashville,Technology,Phones,OnePlus 12,3,649,0.0,1947.0,622.12,31.95,First Class,Debit Card,2
ORD-20240264,2024-01-29,2024-02-01,CUST-1042,Michael Verma,Consumer,Central,Indianapolis,Technology,Laptops,Dell XPS 13,1,1099,0.05,1044.05,326.39,31.26,Standard Class,Credit Card,4
ORD-20240439,2024-01-30,2024-02-03,CUST-1050,Arjun Gupta,Consumer,East,Baltimore,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,3,21,0.1,56.7,15.98,28.18,Standard Class,Credit Card,4
ORD-20240647,2024-02-01,2024-02-05,CUST-1209,Pooja Chopra,Consumer,West,Los Angeles,Furniture,Lighting,Ambient Floor Standing Lamp,1,119,0.15,101.15,0.46,0.45,Standard Class,UPI / Instant Transfer,1
ORD-20241339,2024-02-02,2024-02-04,CUST-1234,Michael Singh,Consumer,South,Miami,Office Supplies,Binders & Organizers,Cable Management Tray Kit,1,25,0.1,22.5,4.58,20.36,First Class,Debit Card,5
ORD-20240921,2024-02-02,2024-02-05,CUST-1090,Jessica Chopra,Consumer,North,Minneapolis,Furniture,Storage,Steel Storage Credenza,1,279,0.0,279.0,47.25,16.94,Standard Class,Debit Card,4
ORD-20240537,2024-02-03,2024-02-07,CUST-1132,David Sharma,Consumer,Central,Kansas City,Furniture,Chairs,Steelcase Series 1 Task Chair,1,499,0.0,499.0,148.78,29.82,Standard Class,Net Banking,5
ORD-20240359,2024-02-03,2024-02-06,CUST-1101,Rohan Verma,Consumer,South,Houston,Technology,Smart Watches,Samsung Galaxy Watch 6,2,299,0.0,598.0,190.4,31.84,Standard Class,Debit Card,5
ORD-20241627,2024-02-05,2024-02-07,CUST-1051,Pooja Wilson,Home Office,West,Phoenix,Furniture,Storage,Steel Storage Credenza,1,279,0.15,237.15,33.01,13.92,First Class,Cash on Delivery,4
ORD-20241082,2024-02-05,2024-02-08,CUST-1205,Jessica Reddy,Corporate,West,Los Angeles,Technology,Laptops,MacBook Air M2,1,1199,0.15,1019.15,210.68,20.67,Standard Class,UPI / Instant Transfer,5
ORD-20240349,2024-02-06,2024-02-09,CUST-1168,Sarah Iyer,Consumer,North,Chicago,Technology,Accessories,Anker 100W Fast Charger,1,59,0.0,59.0,15.46,26.2,Standard Class,Credit Card,5
ORD-20240618,2024-02-07,2024-02-10,CUST-1165,Daniel Mehta,Consumer,South,Austin,Technology,Accessories,Anker 100W Fast Charger,1,59,0.1,53.1,9.85,18.55,Standard Class,Credit Card,5
ORD-20241459,2024-02-07,2024-02-09,CUST-1050,Arjun Gupta,Consumer,West,Denver,Furniture,Desks,Minimalist Solid Wood Desk,1,419,0.0,419.0,76.63,18.29,Standard Class,Net Banking,4
ORD-20240495,2024-02-08,2024-02-11,CUST-1184,Neha Sharma,Home Office,West,Phoenix,Technology,Accessories,Keychron K2 Mechanical Keyboard,1,89,0.05,84.55,24.14,28.55,Standard Class,Cash on Delivery,1
ORD-20240465,2024-02-08,2024-02-11,CUST-1181,Emily Mehta,Consumer,East,Philadelphia,Office Supplies,Packaging Supplies,Bubble Cushion Wrap Roll,1,28,0.1,25.2,4.29,17.02,Standard Class,Debit Card,1
ORD-20240820,2024-02-10,2024-02-13,CUST-1074,Olivia Chopra,Corporate,West,Denver,Office Supplies,Stationery,Pilot G2 Gel Pens Bulk Pack,8,22,0.0,176.0,55.19,31.36,Standard Class,Debit Card,5
ORD-20240286,2024-02-10,2024-02-14,CUST-1093,Sarah Jones,Corporate,East,Pittsburgh,Office Supplies,Paper & Notebooks,Moleskine Executive Journal,3,24,0.15,61.2,12.05,19.69,Standard Class,Debit Card,5
ORD-20240309,2024-02-11,2024-02-14,CUST-1143,Daniel Davis,Consumer,East,Washington D.C.,Technology,Accessories,Sony WH-1000XM5 Headphones,1,349,0.1,314.1,79.15,25.2,Standard Class,Credit Card,5
ORD-20240769,2024-02-11,2024-02-13,CUST-1108,Alex Taylor,Corporate,East,Philadelphia,Technology,Laptops,HP Spectre x360,4,999,0.05,3796.2,869.06,22.89,First Class,UPI / Instant Transfer,4
ORD-20241784,2024-02-12,2024-02-15,CUST-1121,Jessica Deshmukh,Corporate,North,Detroit,Furniture,Desks,Motorized Standing Desk 60x30,7,549,0.0,3843.0,515.08,13.4,Standard Class,Credit Card,4
ORD-20240879,2024-02-12,2024-02-15,CUST-1180,Arjun Davis,Consumer,East,Richmond,Technology,Smart Watches,Samsung Galaxy Watch 6,2,299,0.15,508.3,88.47,17.41,Second Class,Credit Card,5
ORD-20241458,2024-02-12,2024-02-14,CUST-1185,Michael Gupta,Consumer,North,Detroit,Technology,Accessories,Anker 100W Fast Charger,5,59,0.0,295.0,75.68,25.65,Standard Class,Credit Card,4
ORD-20241762,2024-02-13,2024-02-16,CUST-1215,Rohan Mehta,Corporate,Central,Indianapolis,Furniture,Lighting,Architect LED Desk Lamp,11,79,0.05,825.55,61.34,7.43,First Class,Credit Card,4
ORD-20241480,2024-02-13,2024-02-15,CUST-1156,Rahul Smith,Consumer,Central,Kansas City,Office Supplies,Binders & Organizers,Cable Management Tray Kit,3,25,0.15,63.75,8.56,13.43,Second Class,Credit Card,5
ORD-20241361,2024-02-13,2024-02-15,CUST-1202,Ananya Deshmukh,Consumer,South,Miami,Furniture,Desks,L-Shaped Corner Workstation,1,329,0.15,279.65,6.16,2.2,Standard Class,Credit Card,4
ORD-20240099,2024-02-14,2024-02-18,CUST-1227,Alex Chopra,Home Office,North,Boston,Furniture,Lighting,Ambient Floor Standing Lamp,1,119,0.15,101.15,13.76,13.6,First Class,Cash on Delivery,5
ORD-20240335,2024-02-14,2024-02-16,CUST-1152,Olivia Patel,Consumer,South,Dallas,Office Supplies,Paper & Notebooks,Spiral Dot Grid Notebook Pack,1,19,0.0,19.0,5.04,26.53,First Class,Debit Card,5
ORD-20241794,2024-02-14,2024-02-15,CUST-1147,Olivia Patel,Corporate,Central,Indianapolis,Furniture,Desks,Motorized Standing Desk 60x30,7,549,0.05,3650.85,608.06,16.66,Standard Class,Net Banking,5
ORD-20241006,2024-02-15,2024-02-17,CUST-1112,Priya Brown,Consumer,North,Boston,Furniture,Desks,L-Shaped Corner Workstation,1,329,0.0,329.0,58.71,17.84,Standard Class,Debit Card,5
ORD-20240929,2024-02-15,2024-02-18,CUST-1090,Jessica Chopra,Consumer,North,New York,Office Supplies,Packaging Supplies,Bubble Cushion Wrap Roll,2,28,0.0,56.0,21.55,38.48,Standard Class,Net Banking,5
ORD-20240446,2024-02-15,2024-02-18,CUST-1153,Jessica Taylor,Consumer,North,Boston,Furniture,Chairs,Ergonomic Mesh Office Chair,2,249,0.1,448.2,71.59,15.97,Standard Class,Debit Card,5
ORD-20240251,2024-02-15,2024-02-17,CUST-1120,James Gupta,Corporate,East,Washington D.C.,Furniture,Chairs,Executive Leather Recliner,4,399,0.1,1436.4,87.03,6.06,Second Class,Credit Card,5
ORD-20241563,2024-02-16,2024-02-18,CUST-1199,Sarah Wilson,Home Office,Central,Nashville,Furniture,Desks,Minimalist Solid Wood Desk,1,419,0.05,398.05,82.37,20.69,Second Class,Debit Card,2
ORD-20241624,2024-02-17,2024-02-21,CUST-1162,Olivia Taylor,Corporate,East,Washington D.C.,Furniture,Chairs,Ergonomic Mesh Office Chair,5,249,0.1,1120.5,101.48,9.06,Standard Class,Net Banking,5
ORD-20240623,2024-02-18,2024-02-22,CUST-1241,Ananya Anderson,Home Office,North,Detroit,Furniture,Chairs,Gaming Bucket Chair,1,199,0.0,199.0,32.99,16.58,Standard Class,UPI / Instant Transfer,5
ORD-20241088,2024-02-18,2024-02-22,CUST-1093,Sarah Jones,Corporate,Central,Indianapolis,Office Supplies,Stationery,Pilot G2 Gel Pens Bulk Pack,12,22,0.0,264.0,69.66,26.39,Standard Class,Credit Card,4
ORD-20241011,2024-02-19,2024-02-22,CUST-1011,Rahul Wilson,Consumer,North,Detroit,Furniture,Storage,3-Drawer Mobile Filing Cabinet,4,149,0.1,536.4,92.13,17.18,Standard Class,Credit Card,5
ORD-20241521,2024-02-19,2024-02-22,CUST-1090,Jessica Chopra,Consumer,South,Miami,Furniture,Desks,L-Shaped Corner Workstation,1,329,0.1,296.1,24.66,8.33,Standard Class,Credit Card,5
ORD-20240757,2024-02-19,2024-02-21,CUST-1243,David Wilson,Home Office,West,San Francisco,Furniture,Lighting,Ambient Floor Standing Lamp,2,119,0.0,238.0,41.98,17.64,First Class,Credit Card,4
ORD-20241290,2024-02-20,2024-02-21,CUST-1219,Priya Mehta,Corporate,East,Pittsburgh,Technology,Smart Watches,Samsung Galaxy Watch 6,2,299,0.1,538.2,120.47,22.38,Standard Class,Credit Card,5
ORD-20240509,2024-02-22,2024-02-24,CUST-1094,Daniel Jones,Corporate,West,Phoenix,Technology,Accessories,Keychron K2 Mechanical Keyboard,1,89,0.0,89.0,21.68,24.36,Standard Class,Credit Card,5
ORD-20240605,2024-02-22,2024-02-24,CUST-1027,Sarah Taylor,Consumer,West,Denver,Furniture,Storage,3-Drawer Mobile Filing Cabinet,2,149,0.05,283.1,42.8,15.12,Second Class,Credit Card,4
ORD-20240469,2024-02-22,2024-02-25,CUST-1075,Vikram Johnson,Corporate,Central,Kansas City,Furniture,Lighting,Architect LED Desk Lamp,1,79,0.15,67.15,8.27,12.32,First Class,UPI / Instant Transfer,4
ORD-20241520,2024-02-24,2024-02-26,CUST-1065,Aarav Singh,Consumer,South,Houston,Furniture,Desks,L-Shaped Corner Workstation,1,329,0.05,312.55,59.4,19.0,First Class,Net Banking,4
ORD-20240460,2024-02-24,2024-02-25,CUST-1144,Ananya Verma,Consumer,East,Philadelphia,Furniture,Chairs,Executive Leather Recliner,1,399,0.05,379.05,54.85,14.47,Standard Class,Credit Card,4
ORD-20241594,2024-02-24,2024-02-27,CUST-1132,David Sharma,Consumer,South,Dallas,Office Supplies,Packaging Supplies,Bubble Cushion Wrap Roll,1,28,0.0,28.0,11.4,40.71,Standard Class,Credit Card,5
ORD-20240706,2024-02-25,2024-02-29,CUST-1171,Olivia Davis,Corporate,South,Dallas,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,4,21,0.15,71.4,24.02,33.64,Standard Class,UPI / Instant Transfer,5
ORD-20241394,2024-02-25,2024-02-28,CUST-1199,Sarah Wilson,Home Office,South,Austin,Technology,Smart Watches,Garmin Venu 3,1,449,0.0,449.0,107.99,24.05,Standard Class,Credit Card,5
ORD-20241473,2024-02-25,2024-02-28,CUST-1059,Vikram Deshmukh,Consumer,East,Philadelphia,Technology,Accessories,Keychron K2 Mechanical Keyboard,5,89,0.25,333.75,11.66,3.49,Standard Class,Credit Card,5
ORD-20240450,2024-02-25,2024-02-26,CUST-1101,Rohan Verma,Consumer,South,Austin,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,1,21,0.15,17.85,3.31,18.54,Second Class,Net Banking,4
ORD-20241619,2024-02-27,2024-03-01,CUST-1106,Emily Chopra,Consumer,South,Houston,Technology,Phones,Apple iPhone 15 Pro,1,999,0.1,899.1,140.23,15.6,Standard Class,Credit Card,5
ORD-20241703,2024-02-28,2024-03-01,CUST-1111,Rahul Singh,Consumer,West,Denver,Technology,Laptops,MacBook Air M2,1,1199,0.0,1199.0,384.27,32.05,Standard Class,Credit Card,5
ORD-20240530,2024-02-29,2024-03-02,CUST-1119,Rahul Wilson,Home Office,South,Miami,Technology,Phones,Google Pixel 8,1,699,0.1,629.1,74.6,11.86,First Class,Credit Card,5
ORD-20241557,2024-03-01,2024-03-02,CUST-1148,Pooja Williams,Consumer,East,Philadelphia,Office Supplies,Stationery,Pilot G2 Gel Pens Bulk Pack,4,22,0.0,88.0,25.23,28.67,Standard Class,UPI / Instant Transfer,5
ORD-20240956,2024-03-03,2024-03-06,CUST-1083,Alex Patel,Consumer,East,Baltimore,Furniture,Lighting,Ambient Floor Standing Lamp,1,119,0.0,119.0,34.53,29.02,Second Class,UPI / Instant Transfer,5
ORD-20241074,2024-03-03,2024-03-06,CUST-1054,Alex Williams,Home Office,East,Baltimore,Office Supplies,Packaging Supplies,Bubble Cushion Wrap Roll,1,28,0.0,28.0,9.7,34.64,Standard Class,Credit Card,5
ORD-20240989,2024-03-03,2024-03-04,CUST-1212,Pooja Sharma,Corporate,Central,Indianapolis,Office Supplies,Binders & Organizers,Heavy Duty Ring Binders 6-Pack,1,29,0.1,26.1,6.16,23.6,Standard Class,Credit Card,5
ORD-20240007,2024-03-04,2024-03-06,CUST-1108,Alex Taylor,Corporate,West,Phoenix,Office Supplies,Paper & Notebooks,Spiral Dot Grid Notebook Pack,1,19,0.0,19.0,5.69,29.95,Same Day,Credit Card,3
ORD-20240734,2024-03-04,2024-03-07,CUST-1049,James Gupta,Corporate,West,Denver,Furniture,Storage,Steel Storage Credenza,5,279,0.1,1255.5,130.66,10.41,Same Day,Credit Card,5
ORD-20240290,2024-03-05,2024-03-07,CUST-1081,Kavita Reddy,Home Office,North,Minneapolis,Office Supplies,Stationery,Sharpie Highlighters Box,4,16,0.05,60.8,16.79,27.62,Standard Class,Debit Card,4
ORD-20240174,2024-03-05,2024-03-07,CUST-1071,Daniel Deshmukh,Corporate,West,Seattle,Furniture,Chairs,Steelcase Series 1 Task Chair,1,499,0.1,449.1,46.46,10.35,Standard Class,UPI / Instant Transfer,5
ORD-20240566,2024-03-06,2024-03-10,CUST-1105,Pooja Mehta,Home Office,East,Philadelphia,Furniture,Desks,Motorized Standing Desk 60x30,1,549,0.1,494.1,17.61,3.56,Standard Class,Credit Card,5
ORD-20241662,2024-03-06,2024-03-08,CUST-1157,Pooja Mehta,Corporate,South,Austin,Technology,Phones,Samsung Galaxy S24,4,849,0.0,3396.0,1130.12,33.28,Standard Class,Debit Card,4
ORD-20241274,2024-03-08,2024-03-10,CUST-1235,Kavita Davis,Consumer,South,Houston,Technology,Phones,OnePlus 12,3,649,0.0,1947.0,468.86,24.08,Standard Class,Credit Card,5
ORD-20241796,2024-03-08,2024-03-13,CUST-1052,Sophia Mehta,Corporate,West,San Francisco,Technology,Accessories,Keychron K2 Mechanical Keyboard,1,89,0.0,89.0,30.34,34.09,Second Class,UPI / Instant Transfer,5
ORD-20241262,2024-03-09,2024-03-14,CUST-1035,Sarah Chopra,Home Office,North,Boston,Furniture,Lighting,Ambient Floor Standing Lamp,2,119,0.1,214.2,9.52,4.44,Standard Class,Debit Card,5
ORD-20241190,2024-03-10,2024-03-12,CUST-1027,Sarah Taylor,Consumer,Central,Indianapolis,Office Supplies,Stationery,Parker Fountain Pen Set,3,65,0.25,146.25,25.81,17.65,Second Class,UPI / Instant Transfer,5
ORD-20240311,2024-03-10,2024-03-14,CUST-1041,Sophia Reddy,Consumer,West,Phoenix,Office Supplies,Packaging Supplies,Bubble Cushion Wrap Roll,1,28,0.2,22.4,3.29,14.69,First Class,Credit Card,5
ORD-20240664,2024-03-11,2024-03-13,CUST-1171,Olivia Davis,Corporate,West,Denver,Office Supplies,Binders & Organizers,Cable Management Tray Kit,2,25,0.0,50.0,19.21,38.42,Standard Class,Credit Card,5
ORD-20240857,2024-03-12,2024-03-15,CUST-1213,Rahul Williams,Corporate,West,Seattle,Furniture,Storage,Modular Wooden Bookshelf,1,189,0.0,189.0,35.87,18.98,Standard Class,Debit Card,5
